date,region,sales,marketing_spend
2020-01-01,North,143.29307487289927,52.483570765056164
2020-01-02,North,145.40197798528843,49.308678494144075
2020-01-03,North,121.80845553051452,53.23844269050346
2020-01-04,North,134.77921315500276,77.61514928204012
2020-01-05,North,149.3890535081694,68.82923312638331
2020-01-06,North,165.4855024653734,48.8293152152541
2020-01-07,North,169.486593211838,57.896064077536955
2020-01-08,North,146.4822910056475,53.837173645764544
2020-01-09,North,155.55985067403572,47.65262807032524
2020-01-10,North,153.7714074896566,52.712800217929825
2020-01-11,North,128.0682260256047,67.68291153593769
2020-01-12,North,139.29466349248506,67.67135123214871
2020-01-13,North,144.22930494546293,51.20981135783017
2020-01-14,North,139.48717259345943,40.43359877671101
2020-01-15,North,165.83553048199317,41.375410837434835
2020-01-16,North,148.3612812718856,47.188562353795135
2020-01-17,North,137.54470213468156,44.93584439832788
2020-01-18,North,128.65964422791984,71.57123666297637
2020-01-19,North,134.6149728729558,65.45987962239394
2020-01-20,North,149.86310442103024,42.93848149332354
2020-01-21,North,160.81335167913267,57.32824384460777
2020-01-22,North,189.6355124034817,48.87111849756732
2020-01-23,North,148.31672819438836,50.337641023439616
2020-01-24,North,134.58382571688645,42.87625906893272
2020-01-25,North,154.12854497892064,67.27808637737408
2020-01-26,North,125.57165940811099,70.55461294854933
2020-01-27,North,115.2470088458115,44.24503211288849
2020-01-28,North,140.73939478171351,51.87849009172836
2020-01-29,North,182.73991165570496,46.99680655040598
2020-01-30,North,146.15708446625413,48.54153125103362
2020-01-31,North,174.42999201282402,46.991466938853016
2020-02-01,North,142.80428425942682,79.26139092254469
2020-02-02,North,150.64948353694402,69.93251387631032
2020-02-03,North,166.68543267697345,44.7114453552205
2020-02-04,North,197.01398730635904,54.11272456051594
2020-02-05,North,193.74300030180896,43.89578175014489
2020-02-06,North,176.05164291553248,51.04431797502378
2020-02-07,North,147.4635978857954,40.201649380601125
2020-02-08,North,148.89980900922362,63.359069755507846
2020-02-09,North,161.85178732222954,70.98430617934562
2020-02-10,North,143.9121022128007,53.69233289997705
2020-02-11,North,153.47368488329084,50.85684140594985
2020-02-12,North,168.6064967700158,49.4217585880588
2020-02-13,North,154.7362238138088,48.494481522053555
2020-02-14,North,128.61809841692346,42.60739004816286
2020-02-15,North,154.26663463827506,66.40077895802645
2020-02-16,North,163.23751870982392,67.69680614520107
2020-02-17,North,156.12794051108497,55.285611131094576
2020-02-18,North,189.93144613330566,51.718091447842305
2020-02-19,North,146.26028337853026,41.18479922318633
2020-02-20,North,158.18792457382054,51.620419846973974
2020-02-21,North,130.32577048258077,48.07458859791842
2020-02-22,North,117.26680490222802,66.6153899984702
2020-02-23,North,153.21361308641053,73.05838144420434
2020-02-24,North,154.11180619129445,55.154997612479754
2020-02-25,North,194.04538509515274,54.65640059558099
2020-02-26,North,177.75118612108184,45.80391238388681
2020-02-27,North,144.38831655939413,48.45393812074393
2020-02-28,North,172.92954109327724,51.65631715701782
2020-02-29,North,171.34786317090223,74.8777256356118
2020-03-01,North,159.96229153967934,67.60412881077355
2020-03-02,North,148.7971018538205,49.07170511668092
2020-03-03,North,149.9069516443837,44.468325129969855
2020-03-04,North,162.36551206399417,44.01896687959665
2020-03-05,North,181.63887770784882,54.06262911197099
2020-03-06,North,178.5382728434982,56.78120014285412
2020-03-07,North,173.02388202118382,69.63994939209833
2020-03-08,North,150.84351458847013,75.01766448946012
2020-03-09,North,138.5852336832227,51.808180125238174
2020-03-10,North,169.23384402009768,46.774401226974376
2020-03-11,North,148.6106313095915,51.80697802754207
2020-03-12,North,173.99631433388834,57.690182832329846
2020-03-13,North,143.40705427899562,49.82086980445024
